アケビタウン	akebi taun
かくれいずみへのみち	modori no dō kutsu
おくりのいずみ	ma ngetsuji ma
もどりのどうくつ	shingetsuji ma
まんげつじま	umi ware no michi
しんげつじま	wa nanora kuen
うみわれのみち	yabureta sekai
はなのらくえん	hamanasu pāku
やぶれたせかい	kanokotaun
ハマナスパーク	karakusataun
カノコタウン	sanyōshiti
カラクサタウン	shippōshiti
サンヨウシティ	hiunshiti
シッポウシティ	raimonshiti
ヒウンシティ	hodomoeshiti
ライモンシティ	fukiyoseshiti
ホドモエシティ	sekkashiti
フキヨセシティ	sōryūshiti
セッカシティ	kagome taun
ソウリュウシティ	sazanamitaun
カゴメタウン	burakku shiti
サザナミタウン	howaitoforesuto
ブラックシティ	kanawataun
ホワイトフォレスト	hiōgi shiti
カナワタウン	sangi taun
ヒオウギシティ	tachiwakishiti
サンギタウン	yamajitaun
タチワキシティ	seigaihashiti
ヤマジタウン	P 2 rabo
セイガイハシティ	yume no a tochi
P2ラボ	chika sui myaku no ana
ゆめのあとち	yaguruma no mori
ちかすいみゃくのあな	shi saku no hara
ヤグルマのもり	rizōto dezāto
しさくのはら	ko dai no shiro
リゾートデザート	rei tō kontena
こだいのしろ	den kīshi no hora ana
れいとうコンテナ	fukiyose no hora ana
でんきいしのほらあな	tawāobuhebun
フキヨセのほらあな	neji ya ma
タワーオブヘブン	ryūrasen no tō
ネジやま	sekka no shi tsugen
リュウラセンのとう	shi yugyōnoiwaya
セッカのしつげん	N no shiro
しゅぎょうのいわや	jaiantohōru
Nのしろ	sazanami wan
ジャイアントホール	kaite ī seki
サザナミわん	hōjō no yashiro
かいていいせき	mayoi no mori
ほうじょうのやしろ	ribatigāden tō
まよいのもり	chikai no hayashi
リバティガーデンとう	sangi bokuji yō
ちかいのはやし	tachiwakikonbināto
サンギぼくじょう	ge sui dō
タチワキコンビナート	ko dai no nukemichi
ヒウンげすいどう	ribāsumaunten
こだいのぬけみち	sutorenjāhausu
リバースマウンテン	umibe no dōketsu
ストレンジャーハウス	purazumafurigēto
うみべのどうけつ	kokoro no kū dō
プラズマフリゲート	yākonrōdo
こころのくうどう	asametaun
ヤーコンロード	meisuitaun
アサメタウン	hakudanshiti
メイスイタウン	miareshiti
ハクダンシティ	kobokutaun
ミアレシティ	shōyōshiti
コボクタウン	seki tai taun
ショウヨウシティ	shara shiti
セキタイタウン	hiyokushiti
シャラシティ	kunoeshiti
ヒヨクシティ	fūjotaun
クノエシティ	hyakkokushiti
フウジョタウン	renritaun
ヒャッコクシティ	eisetsushiti
レンリタウン	kinanshiti
エイセツシティ	haku dan no mori
キナンシティ	jitsuna ginodōketsu
ハクダンのもり	kagayaki no dō kutsu
じつなぎのどうけつ	utsu shimi no dō kutsu
かがやきのどうくつ	wadatsumi no ana
うつしみのどうくつ	are hate hoteru
わだつみのあな	furosutokeibu
あれはてホテル	pokemon no mura
フロストケイブ	utsuro no ma
ポケモンのむら	tsui no dō kutsu na nashi no dō kutsu
うつろのま	hauorishiti
ついのどうくつ	rirītaun
ななしのどうくつ	kantaishiti
ハウオリシティ	ohanataun
リリィタウン	konikoshiti
カンタイシティ	marieshiti
オハナタウン	pō taun
コニコシティ	kapu no mura
マリエシティ	umi no tami no mura
ポータウン	roiyaru abenyū
カプのむら	harontaun
うみのたみのむら	burasshītaun
ロイヤルアベニュー	enjin shiti
ハロンタウン	tāfutaun
ブラッシータウン	bautaun
エンジンシティ	nakkuru shiti
ターフタウン	raterarutaun
バウタウン	arabesuku taun
ナックルシティ	kirukusutaun
ラテラルタウン	supaiku taun
アラベスクタウン	shūto shiti
キルクスタウン	madoromi no mori
スパイクタウン	gararu kō zan
シュートシティ	dai ni kō zan
まどろみのもり	ruminasumeizu no mori
ガラルこうざん	kotobuki mura
だいにこうざん	kuro 曜 no genya
ルミナスメイズのもり	guren no shicchi
コトブキムラ	gunjō no kaigan
黒曜の原野	ten kanmuri no sanroku
紅蓮の湿地	junpaku no tōdo
群青の海岸	taishizaka
天冠の山麓	teitetsu ヶ hara
純白の凍土	ensei no kaikonchi
大志坂	shishi no sandō
蹄鉄ヶ原	shishi no takadai
園生の開墾地	morinodaisho
シシの山道	kaze nukemichi
シシの高台	kezurarekyō
森の台所	kakō no entei
風抜け道	oku no mori
削られ橋	kyoboku no senjō
河口の堰堤	kuro tetsu tonneru
奥の森	kuro 曜 no taki
巨木の戦場	kewashi hayashi
黒鉄トンネル	masago heigen
黒曜の滝	shinji ko
険し林	shinji ko no kūdō
マサゴ平原	hamanasu no shima
シンジ湖	kiniro no heiya
シンジ湖の空洞	zui no iseki
ハマナスの島	ōguchi no numa
金色の平野	hedoro daichi
ズイの遺跡	shinkunuma
大口の沼	kuma no keikojō
ヘドロ台地	gorogoro saka
深紅沼	kongo u shūraku
クマの稽古場	kongo u no satoyama
ゴロゴロ坂	unkaitōge
コンゴウ集落	risshi ko
コンゴウの里山	risshi ko no kūdō
雲海峠	kiri no iseki
リッシ湖	butai no senjō
リッシ湖の空洞	keyari no sōgen
霧の遺跡	haoto no hara
舞台の戦場	shiren no nakasu
毛槍の草原	ichō no hamabe
羽音の原	watari no nazoe
試練の中州	maigo no isobe
イチョウの浜辺	kaze sarashi no mori
渡りのなぞえ	tobari misaki
迷子の磯辺	eipamu san
風さらしの森	susuki no ie
帳岬	uranohama
エイパム山	mizuabi kata
ススキの家	obake wara
浦の浜	suna no te
水浴び潟	tonbo rodō
オバケワラ	shizukana uchiumi
砂の手	dai sakana no kakure iwa
トンボロ道	kaisō no rakuen
静かな内海	shio no nukemichi
大魚の隠れ岩	umibe no shō ana
海草の楽園	hi fuki shima
潮の抜け道	yōgan no senjō
海辺の小穴	kakō no hokora
火吹き島	shimanami hama
溶岩の戦場	kakure izumi e no michi
火口の祠	modori no dōkutsu
しまなみ浜	shinzen no takadai
隠れ泉への道	mayoi no dōkutsu
戻りの洞窟	mayoi no sanrin
神前の高台	kodai no ishigirijō
迷いの洞窟	junreisha no michi
迷いの山林	hanare yūsui
古代の石切り場	kaminagi sandō
巡礼者の道	gorogoro sanchi
離れ湧水	ressekitōge
カミナギ山道	fearī no izumi
ゴロゴロ山地	gake nobori gake
列石峠	kaminagi jīn ato
フェアリーの泉	taiko no horāna
崖登り崖	inori no hiroba
カミナギ寺院跡	mukai tsuki no senjō
太古の洞穴	ryū kumo no kiridōshi
祈りの広場	iwa no mon
迎月の戦場	shinō shinden
笠雲の切り通し	gō yukitani
岩の門	gokkan no arechi
シンオウ神殿	hyōzan no chikadō
豪雪谷	kurebēsu hyōkai
極寒の荒地	shinju shūraku
氷山の地下道	himitsu no yokoana
クレベース氷塊	hyōga no dankyū
シンジュ集落	eichi ko
秘密の横穴	eichi ko no kūdō
氷河の段丘	kis saki shinden
エイチ湖	yukimi no shutsu de yu
エイチ湖の空洞	senjō e no michi
キッサキ神殿	hyōzan no senjō
雪見の出で湯	kokorogata iwayama
戦場への道	kurebasu no nukemichi
氷山の戦場	fuyu komori no horāna
心形岩山	oni kōri taki
クレバスの抜け道	tsurara no ma
冬籠りの洞穴	nadarezaka
鬼氷滝	kosajitaun
氷柱の間	puratotaun
雪崩坂	tēburu shiti
コサジタウン	serukurutaun
プラトタウン	bōru taun
テーブルシティ	hakkōshiti
セルクルタウン	karafushiti
ボウルタウン	marinādotaun
ハッコウシティ	pike taun
カラフシティ	chanpurutaun
マリナードタウン	furijjitaun
ピケタウン	beikutaun
チャンプルタウン	kosaji no komichi
フリッジタウン	irie no horāna
ベイクタウン	rōsuto sabaku
コサジの小道	shirushi no ki tachi
入り江のほら穴	purupike sandō
ロースト砂漠	nappe san
しるしの木立ち	beiku kūdō
プルピケ山道	ō ja no mizūmi
ナッペ山	okoge rindō
ベイク空洞	parudea no ōana
オージャの湖	eria zero
オコゲ林道	zero gēto
パルデアの大穴	zero rabo
エリアゼロ	chīmu segin no ajito
ゼロゲート	chīmu shedaru no ajito
ゼロラボ	chīmu shī no ajito
チーム・セギンのアジト	chīmu rukubā no ajito
チーム・シェダルのアジト	chīmu kāfu no ajito
チーム・シーのアジト	suiryokutaun
チーム・ルクバーのアジト	kitakami kaidō
チーム・カーフのアジト	appuruhiruzu
スイリョクタウン	maide sandō
キタカミ街道	fuji ga hara
アップルヒルズ	rakudo no arechi
舞出山道	oni ga yama
フジが原	oniba kūdō
楽土の荒地	osore ana
鬼が山	jigogudani
鬼歯空洞	terasu ike
恐れ穴	hiyamizu hora
地獄谷	ochiai kawara
てらす池	onikaku kyōkoku
ひやみず洞	kitakami gensei chīki
落合川原	tokoshie no mori
鬼角峡谷	tomokko puraza
キタカミ原生地域	kitakamisentā
とこしえの森
ともっこプラザ
キタカミセンター
